At timestep 71:-0.000006 -0.000027 -0.000006 0.000017 0.000000 0.000003 -0.000000; -0.000348 0.000062 -0.000310 -1.570700 -0.000679 1.571025 0.785158; 0.000551 -0.000819 0.003073 0.000428 -0.014099 0.000403 -0.000613
At timestep 72:0.000016 -0.000026 0.000016 0.000017 0.000002 0.000003 -0.000001; -0.000349 0.000068 -0.000315 -1.570705 -0.000703 1.571026 0.785159; 0.000101 0.001217 0.001030 -0.001385 -0.015193 0.004942 -0.000138
At timestep 73:0.000010 -0.000036 0.000010 0.000028 0.000002 0.000004 -0.000001; -0.000349 0.000073 -0.000316 -1.570700 -0.000728 1.571030 0.785155; -0.000132 0.002575 0.000618 0.000747 -0.020081 0.004024 -0.001346
At timestep 74:0.000002 -0.000057 0.000002 0.000048 0.000002 0.000009 -0.000001; -0.000344 0.000070 -0.000313 -1.570697 -0.000754 1.571031 0.785158; 0.001433 -0.000047 0.001289 0.001426 -0.023977 0.002975 -0.000898
At timestep 75:0.000015 -0.000053 0.000015 0.000036 0.000002 0.000007 -0.000001; -0.000339 0.000078 -0.000309 -1.570697 -0.000777 1.571035 0.785157; 0.002606 0.002567 0.001656 0.000951 -0.021753 0.002203 -0.000327
At timestep 76:0.000002 -0.000063 0.000002 0.000051 0.000002 0.000010 -0.000001; -0.000339 0.000076 -0.000305 -1.570690 -0.000797 1.571042 0.785160; 0.001653 0.000876 0.002003 0.002304 -0.024718 0.002718 0.001003
At timestep 77:-0.000000 -0.000077 -0.000000 0.000061 0.000002 0.000012 -0.000001; -0.000337 0.000076 -0.000303 -1.570694 -0.000821 1.571045 0.785160; 0.001874 0.000584 0.002149 -0.000134 -0.027283 0.002275 -0.000078
At timestep 78:0.000001 -0.000049 0.000001 0.000036 0.000001 0.000007 -0.000001; -0.000335 0.000077 -0.000300 -1.570692 -0.000841 1.571048 0.785158; 0.001202 0.001225 0.002345 -0.000090 -0.021106 0.001609 -0.001272
At timestep 79:0.000001 -0.000043 0.000001 0.000033 0.000001 0.000006 -0.000001; -0.000331 0.000076 -0.000300 -1.570691 -0.000863 1.571051 0.785156; 0.001694 0.000816 0.001551 -0.000060 -0.020180 0.001515 -0.000374
At timestep 80:0.000004 -0.000050 0.000005 0.000027 0.000001 0.000005 -0.000000; -0.000326 0.000081 -0.000294 -1.570691 -0.000875 1.571050 0.785158; 0.001938 0.002308 0.002788 -0.000040 -0.018602 0.000689 -0.000486
At timestep 81:0.000003 -0.000043 0.000003 0.000028 0.000001 0.000005 -0.000001; -0.000325 0.000081 -0.000297 -1.570696 -0.000892 1.571052 0.785163; 0.001272 0.001538 0.000924 -0.001790 -0.019144 0.001210 0.001168
At timestep 82:-0.000014 -0.000033 -0.000014 0.000027 -0.000000 0.000005 -0.000000; -0.000320 0.000078 -0.000297 -1.570691 -0.000900 1.571052 0.785156; 0.001761 -0.000738 0.000611 0.000570 -0.018501 -0.000215 -0.000476
